tactic0_id,longitude,latitude,NEAR_CCTV_,NEAR_MOOBA,MOOBAN_EST,MOOBAN_LEV,NEAR_UNITS,UNIT_TYPE,NEAR_VEHIC,VEHICLES_T,NEAR_NAIS_,NAIS_TYPE,NEAR_DIST
1,101.19182,6.13009,3467.485002,85.604275,0,0,927.963005,5,1308.145156,2,284.929088,3,27.67796748
0,101.26577,6.41964,972.895329,1515.131446,0,0,1855.001821,4,2805.680397,2,1321.192664,1,1077.837387
1,101.14605,6.68195,4535.321847,372.279866,1,3,294.153727,7,212.795421,2,323.187802,10,97.31525903
1,101.22266,6.85446,240.14691,333.135614,0,0,1591.508482,3,407.629181,1,155.356802,3,6.634046174
0,101.34695,6.45786,242.448908,1172.773291,0,0,558.423389,5,701.641769,2,620.660475,5,31.91502161
0,100.97757,6.65426,4096.016638,1315.821482,0,0,1716.60359,5,6956.354136,1,14218.0823,5,1124.033888
0,101.74995,6.27591,2686.242719,932.762119,1,3,1707.460629,4,3448.168296,2,69.781556,6,71.97788256
0,101.6247,6.71488,580.185597,403.194092,0,0,567.060214,4,1545.663021,2,80.889155,4,35.4250751
1,101.2866,6.72085,302.995168,143.336508,1,3,1104.123671,4,363.863675,2,1144.968962,3,25.82726191
0,101.45094,6.49835,2562.292453,250.031476,0,0,3504.811321,4,7015.471466,2,2175.258547,6,14.42898414
0,101.53032,6.59418,166.323029,257.26495,0,0,2534.240063,5,329.084481,2,342.09316,4,46.97164813
1,101.35954,6.57949,1554.236167,242.346219,0,0,1948.042627,4,763.080461,2,1837.482079,1,69.63289638
1,100.47109,7.00443,23565.70328,13650.94888,0,0,23585.31334,6,22063.94818,2,393.256088,10,0
1,100.47072,6.99957,23545.11973,13598.68281,0,0,23564.60315,6,22125.72945,2,585.935374,10,538.9843498
1,100.47833,6.99816,22692.85984,12743.94835,0,0,22712.3257,6,21294.89926,2,853.267256,6,0
0,101.02807,6.43366,12276.43723,1093.822575,0,0,541.597337,12,982.695641,2,12163.24596,1,784.8322569
1,101.61616,6.6018,4813.307648,303.635257,1,1,1655.644772,5,3100.682457,2,524.686333,2,3.989809469
1,101.62068,6.73178,2396.563238,247.570896,0,0,1311.866409,4,2019.373056,2,765.878209,1,140.9632933
0,101.50904,6.85188,1471.078433,698.52595,0,0,1886.232156,5,2433.211271,2,7211.650865,5,538.6642801
1,101.29458,6.55675,93.362156,436.38279,0,0,305.945294,3,529.123261,1,122.263756,6,133.6165906
0,101.53319,6.70339,1707.831873,572.737443,0,0,1542.4352,4,2430.228686,1,264.995108,5,169.0664175
1,101.15443,6.8283,1802.053601,1129.539607,0,0,1077.410049,5,2671.551349,2,1296.371003,3,1249.616057
0,101.13738,6.70223,2123.98972,191.877264,1,3,1306.776011,4,667.705601,2,1054.438041,6,8.424385486
1,101.66436,6.56364,2145.58516,999.940307,1,1,1255.562983,3,2669.413181,2,1412.56251,4,231.7369976
0,101.90315,6.07837,2298.470718,600.359276,0,0,2344.387778,4,3701.953576,2,1513.111084,4,7.000966837
0,101.87202,5.92955,166.726511,598.46948,1,3,1356.00587,5,1154.244173,2,425.643883,1,155.0807902
0,101.73831,6.04249,5071.168139,894.608984,1,1,1665.979106,4,4732.683932,2,344.272814,2,54.75903023
0,101.46762,6.63581,689.077887,373.091633,1,3,1110.683116,4,847.243579,2,786.777409,5,363.1211341
0,101.60686,6.44695,7958.940275,666.457958,1,3,3225.983121,4,4548.535059,2,192.578683,5,68.40283586
0,101.83353,6.39729,1379.809387,1040.147409,0,0,2630.270525,3,1925.134246,2,1432.636608,1,1773.954616
1,101.82522,6.22489,1056.838915,385.195474,1,3,1519.81533,5,1645.943819,2,677.189112,1,403.9409009
0,101.14759,6.13249,5127.274635,761.632032,0,0,3300.077697,5,4741.117017,2,4732.213016,5,100.9746758
0,101.48923,6.86814,254.205573,997.211856,0,0,782.064662,4,403.427174,2,10026.85633,5,171.7330191
1,100.98133,6.73128,122.967418,885.921958,0,0,343.147177,1,159.618486,2,7357.761675,5,166.2054339
0,101.13985,6.80392,4759.58671,425.904958,0,0,1446.85254,2,570.818144,2,427.942581,3,32.68266973
0,101.78063,6.24244,1573.027569,428.952302,0,0,3361.551057,4,4508.491103,2,360.858966,5,43.90334247
0,101.08881,6.71744,988.431508,738.428792,0,0,1417.526439,7,1065.149367,2,1434.693717,10,151.5469555
1,101.1863,6.0539,11854.58345,724.925453,0,0,1065.151557,5,7186.856723,2,1305.581913,8,157.4977871
1,101.21959,6.43967,6339.921013,753.462705,0,0,1904.816893,4,3485.43922,2,107.02013,3,870.7618934
1,102.0351,6.2049,5574.970839,851.942077,1,3,2262.391269,4,3389.002293,2,517.392371,4,236.3072559
1,101.28676,6.739,246.945291,471.234914,1,3,286.205734,4,901.725754,1,1803.659527,1,12.36900092
0,101.30136,6.7844,721.332451,414.375842,1,1,936.939837,4,2470.462541,2,123.52433,1,46.19744331
0,101.14787,6.80242,4348.444452,333.857996,0,0,1233.223836,4,575.895768,2,632.999007,3,100.419067
1,101.29318,6.70051,25.46386,507.193158,0,0,1276.240958,4,2142.558811,2,173.301582,3,44.42358544
0,101.29229,6.80842,3308.082237,561.87898,0,0,1959.680601,3,2291.183133,2,2748.494258,3,16.10793102
0,101.46126,6.29497,5207.783328,1225.927229,0,0,749.534034,4,2974.450658,2,307.61058,2,252.884695
0,101.25245,6.25852,667.240404,303.698991,0,0,1707.568503,5,1720.918223,2,164.639123,1,3.318847511
0,101.52814,6.59936,471.928234,423.445039,0,0,2994.898295,5,310.048195,2,961.632491,4,0
0,101.55015,6.4183,3254.142409,893.805373,0,0,2575.617542,4,1568.324102,1,113.109838,8,17.17833677
0,101.13856,6.71805,613.504833,483.517353,0,0,540.598273,4,1113.412282,2,2371.932899,6,509.9465923
1,101.29335,6.55733,142.802919,376.688357,0,0,452.43379,3,414.011383,1,271.278677,6,52.88744159
1,101.43884,6.49089,1485.585341,1343.092285,0,0,2295.705057,5,7358.325022,2,1423.851723,6,982.0826006
0,101.30179,6.74658,1079.219816,49.332628,0,0,1649.458682,4,1238.340681,1,291.120815,1,49.12401499
0,101.69634,6.34727,6042.134633,636.196256,1,3,2747.268803,4,4464.995058,2,153.075161,3,520.9644342
1,101.49224,6.76425,8716.368201,476.774343,0,0,1.564536,4,1496.390579,2,1659.34348,3,209.7017433
0,100.9769,6.64412,3456.011074,416.596288,0,0,2564.600766,5,8080.06288,1,15185.1769,5,415.904841
1,101.82492,6.42279,34.369849,967.793609,1,3,839.327589,3,58.104942,1,122.886374,1,8.059962856
0,101.54378,6.49331,7283.993988,604.819459,1,1,3920.258584,4,4425.814766,2,3047.360828,1,216.1656215
1,101.25362,6.85563,45.346979,286.944724,0,0,974.967025,3,610.279749,2,587.209658,4,18.92658976
0,101.79273,6.33368,1578.984806,124.856367,1,3,998.665876,3,3834.487038,2,2073.184536,7,112.3846033
1,101.19701,6.48422,5521.34679,606.000728,1,1,1440.918048,4,2434.356391,1,4971.744693,8,552.9565059
0,101.5377,6.29284,3021.41829,1139.347427,1,3,3025.562221,4,1398.089061,2,700.071825,8,239.6624347
0,101.90334,6.079,2302.756101,577.182524,0,0,2316.728917,4,3711.208761,2,1568.270971,4,72.83913244
1,101.53479,6.70239,1500.076915,416.452357,0,0,1382.545701,4,2369.69829,1,60.736519,5,40.08981029
1,102.01183,6.27558,3791.765928,803.616736,0,0,1361.487684,3,4910.892693,2,3583.478477,1,581.8937253
0,101.13735,6.7023,2115.777978,183.459705,1,3,1298.679973,4,659.561055,2,1058.795788,6,8.424385486
1,101.57904,6.00082,8902.51149,3919.759473,0,0,5871.824189,4,10854.36512,2,4267.858864,5,2760.65073
0,101.78827,6.24635,1029.466553,665.550027,1,3,3130.867307,4,3732.756201,2,352.00922,5,108.5139462
1,101.18112,6.16636,26.784772,69.391961,0,0,241.047276,5,5314.594629,2,109.77326,1,27.34161344
0,101.34239,6.76064,4977.27772,654.924156,1,3,2342.468672,4,2617.450835,2,3556.483891,3,31.45767417
1,101.82493,6.4225,21.430519,987.972416,1,3,816.591594,3,88.99853,1,97.871662,1,31.16795178
1,101.4651,6.4739,2733.238723,614.721773,1,3,2786.831764,5,9425.605072,1,2310.113124,6,68.1887181
1,101.69548,6.03964,315.838709,1565.297075,0,0,5797.155424,4,5245.641764,2,325.591544,1,945.490744
0,101.57527,6.68509,3352.094373,679.557266,0,0,373.743952,4,1673.102013,1,114.650033,5,9.45283258
1,101.70838,6.1704,28.85827,1112.077139,0,0,361.575442,4,4710.936084,2,57.919465,2,24.37980283
1,101.66912,6.15719,474.538335,860.203339,1,1,3337.723197,4,7997.424384,2,2404.579656,5,151.8630911
1,101.23665,6.2052,6706.07915,378.742871,1,1,1181.879067,4,5685.348767,2,599.054566,5,81.32817533
0,101.98222,6.27224,6811.713099,667.365109,1,3,4095.310132,3,7988.172921,2,4387.332273,1,393.2810928
1,101.68116,6.4581,2437.540018,544.847764,1,3,2796.972959,4,4133.702355,2,333.658712,1,97.5029891
0,101.200341,6.578596,5816.808044,352.092589,0,0,796.797813,3,3928.003159,2,293.965605,5,186.0690296
0,101.52893,6.49838,6697.228415,427.217012,1,3,2209.589587,4,5960.440419,2,3874.708887,5,204.8963896
0,101.51849,6.39632,55.040231,187.365418,0,0,672.881658,6,45.582053,2,201.323976,1,67.73019158
1,101.25418,6.88384,357.352658,429.659383,0,0,1292.890305,3,650.375861,2,2821.089389,5,260.7822807
0,101.31491,6.33981,4818.926622,723.617411,0,0,2377.609126,4,2764.99717,2,1795.410476,5,0
1,101.2109,6.11333,5906.5884,186.764415,0,0,306.691872,5,2588.506997,2,2304.444448,3,187.0680916
0,101.49522,6.82934,2726.362635,277.896069,0,0,769.416449,4,2527.245579,2,6419.082497,5,7.083671156
0,101.56891,6.71535,3463.454078,276.747479,1,3,2217.236086,4,2066.053601,1,470.580553,5,60.85494565
0,101.41787,6.48584,666.752257,812.929394,0,0,1095.955113,5,6311.553638,2,60.590729,4,166.6768991
1,101.45188,6.36144,6554.743091,609.827714,0,0,2287.006903,4,7759.106043,2,1503.878289,1,973.0847019
1,101.48365,6.64864,655.414537,794.577911,0,0,2557.641199,4,2964.700653,2,2958.631488,5,17.87389623
0,101.88373,6.09243,546.96885,28.996219,0,0,928.416276,5,1748.756065,2,292.963851,1,22.79608835
0,101.53786,6.295,3015.546702,947.74572,0,0,3021.845238,4,1522.444403,2,460.847465,8,232.0488373
1,101.76765,6.40516,1969.986747,647.201335,1,3,2454.404493,4,3434.79373,2,526.636602,5,81.99511126
